Question,Answer
is an otter s den called a holt ?,yes
"have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes
what is the largest living species of penguin?,the emperor penguin (aptenodytes forsteri)
"what is ""tobogganing""?",when penguins slide on their bellies across the snow
"what is ""tobogganing""?",tobogganing is when penguins slide on their bellies across the snow
how much time to penguins spend on land?,half of their life
how much time to penguins spend on land?,they spend half of their life on land
how many species of penguins are there?,between 17 and 20 living species
how many species of penguins are there?,"penguin biodiversity varies between 17 and 20 living species, all in the subfamily spheniscinae"
how are isabelline penguins different from most penguins?,they have brown rather than black plumage
how are isabelline penguins different from most penguins?,because they are born with brown rather than black plumage
do penguins have a better than average sense of hearing for birds?,yes
do penguins have a better than average sense of hearing for birds?,no
what is the largest living species of penguin?,emperor
how tall were the tallest prehistoric penguins?,180 meters
how tall were the tallest prehistoric penguins?,as tall as an adult human
what makes penguins so agile in the water?,their wings have become flippers
what makes penguins so agile in the water?,"smooth plumage preserves a layer of air, ensuring buoyancy, wings are flippers"
"why do penguins ""tobaggan""?",it conserves energy while moving quickly
"why do penguins ""tobaggan""?",conserves energy while moving quickly
who spend half of their life on land and half in the oceans?,penguins
what is also the distance that antarctic tourists are told to keep from penguins?,3 meters
"what have become flippers, useless for flight in the air?",penguins wings
what happens when mothers lose a chick?,"they sometimes attempt to ""steal"" another chick"
is it true that each penguin gets a turn in the center?,yes
are all penguins countershaded?,yes
are penguins astonishingly agile?,in the water they are
are penguins at risk?,yes
"is it also possible that penguin comes from the latin pinguis , fat ?",yes
have penguins an average sense of hearing for birds ?,yes
can larger penguins dive deep in case of need ?,yes
"is the smallest penguin species the little blue penguin -lrb- also known as the fairy penguin -rrb- , which stands around 40 cm tall -lrb- 16 in -rrb- and weighs 1 kg -lrb- 22 lb -rrb- ?",yes
"is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae ?",it is not even known
is the largest living species the emperor penguin -lrb- aptenodytes forsteri -rrb-?,yes
"is the smallest penguin species the little blue penguin -lrb- also known as the fairy penguin -rrb- , which stands around 40 cm tall -lrb- 16 in -rrb- and weighs 1 kg -lrb- 2?",yes
what happened in a region not quite 2000 km south of the equator 35 mya?,at least one giant penguin
what is the last word on the page?,connecticut
what is the last word on the page?,(ssn-22)
what is largest polar bear on record?,2200 lb
what is largest polar bear on record?,"a huge male, allegedly weighing 1002 kg (2200 lb) shot at kotzebue sound in northwestern alaska in 1960"
what is polar bears skin color?,white or cream
what is polar bears skin color?,black
why polar bear is a special species?,"the world conservation union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in may 2006 their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced"
what do fossil and dna evidence tell us?,the polar bear diverged from the brown bear about 200 thousand years ago
what do fossil and dna evidence tell us?,the polar bear diverged from the brown bear roughly 200 thousand years ago
how heavy is a male polar bear?,300-600 kg (660-1320 lb)
how heavy is a male polar bear?,most adult males weigh 350-650 kg
how heavy was the largest polar bear on record?,1002 kg (2200 lb) 
how heavy was the largest polar bear on record?,he allegedly weighed 1002 kg
what does a polar bears fur provide?,it provides the animal with effective camouflage
what does a polar bears fur provide?,a polar bears fur provides camouflage and insulation
how much weight do female polar bears gain during pregnancy?,they gain double their weight
how much weight do female polar bears gain during pregnancy?,they double their weight during pregnancy
can polar bears be seen under infrared photography?,polar bears are nearly invisible under infrared photography
can polar bears be seen under infrared photography?,only their breath and muzzles can be easily seen
what is actually black in color?,a polar bears skin
what insulate it against the cold?,its think blubber and fur
what includes a lengthy justification of why this species is listed as vulnerable?,database entry
what do with greenpeace and the natural resources defense council have in common?,they filed lawsuits in california
are studies insufficient evidence for global protection?,it is arguable
are polar bears excellent swimmers?,yes
"a semi-aquatic marine mammal , the polar bear has what?","it has adapted for life on a combination of land, sea, and ice"
garbage is what?,"garbage is now recycled or transported to thompson, manitoba"
the bears sometimes what?,they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites
is the polar bear the mascot of bowdoin college ?,yes
have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes
"did mitchell taylor , the nunavut government manager of wildlife research , not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time ?",no
are cubs born in december without awakening the mother ?,yes
where did a suicide-bombing kill a teacher in 2005?,at the doha players theatre
where did a suicide-bombing kill a teacher in 2005?,doha players theatre
does the native pronunciation of qatar sound like cutter?,yes
does the native pronunciation of qatar sound like cutter?,no
what universities are in education city?,"carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell universitys weill medical college"
what universities are in education city?,"carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university"
what carried with it a tacit recognition of qatars status as distinct from bahrain?,the british protectorate (per colonel lewis pelly) asking to negotiate with a representative from qatar after bahrains violation of the 1820 anglo-bahraini treaty
qatar became an independent sovereign state in what year?,"on september 3, 1971"
"what consists of a low, barren plain, covered with sand?",much of the country
how do qatar and the wider region relate?,qatar is aiming to become a role model for economic and social transformation in the region large scale investment in all social and economic sectors will also lead to the development of a strong financial market
was qatar university founded in 1973?,yes
is qatar bordered by saudi arabia to the south?,yes
what bordered by saudi?,qatar
who served as the headquarters and one of the main launching sites of the us invasion of iraq in 2003 ?,qatar
has qatar a modern telecommunication system centered in doha ?,yes
was qatar university founded in 1973 ?,yes
"did the qataris not choose as their negotiator the respected entrepreneur and long-time resident of doha , muhammed bin thani ?",yes
will oil and gas probably remain the backbone of qatar s economy for some time to come ?,yes
"has it been created with a long term perspective to support the development of qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",yes
what happened in these positions in english?,these allophones cannot occur there
can these allophones not occur in these positions in english?,yes
"is -rrb- , officially the state of qatar -lrb- arabic (: : transliterated as dawlat qatar -rrb- , an arab emirate in southwest asia?",yes
how many counties is romania divided into?,41
how many counties is romania divided into?,forty-one
is the romanian economy doing well?,yes
does romania share the same language with moldova?,yes
does romania share the same language with moldova?,practically
why doesnt romania have a state religion?  ,romania is a secular state
why wasnt romania neutral during world war ii?,it received a soviet ultimatum
why wasnt romania neutral during world war ii?,the soviets threatened invasion
"sibiu, a large city in transylvania, was chosen as european capital of culture in what year?",2007
"what are approximately 42,000 years old and have been nicknamed`` john of anina?",the remains (the lower jaw) of the oldest modern human
"is it true that romania has a population of 21,698,181?",yes
what do economy and law have in common?,(not sure how to answer this)
what did tourism in romania attract in 2005?,investments worth 400 million euros
is romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,yes
was gellu naum the leader of the surrealist movement in romania ?,yes
was the bucharest metro only opened in 1979 ?,yes
"is romania -lrb- , -rrb- a country in southeastern europe?",yes
do singaporeans enjoy squid?,"yes, they do"
do singaporeans enjoy squid?,yes
did singapores standard of living decrease since independence?,"no, the standard living was raised"
did singapores standard of living decrease since independence?,no
did the media contribute 156% to singapores gdp in 2001?,"no, it contributed 156% to gdp in 2001"
did the media contribute 156% to singapores gdp in 2001?,no
how many people use the bus network daily?,more than 278 million people
how many people use the bus network daily?,278 million people
where did orang laut people live?,"orang laut people lived around the coast, rivers and smaller islands"
where did orang laut people live?,"several hundred indigenous orang laut people also lived around the coast, rivers and smaller islands"
what is the mrt?,one of three heavy rail passenger transport lines in singapore
what is the mrt?,mass rapid transit system
how is singapores climate characterized?,singapore has a tropical rainforest climate with no distinctive seasons
how is singapores climate characterized?,"its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall"
how many days did it take the imperial japanese army to win the battle of singapore?,six days
how many days did it take the imperial japanese army to win the battle of singapore?,6 days
is singapore located at the southern tip of the korean penisula?,no
is singapore located at the southern tip of the korean penisula?,yes
"what does ""singa"" mean?",lion
when is the first record of settlement in singapore?,second century ad
when is the first record of settlement in singapore?,the first records of settlement in singapore are from the second century ad
which nation invaded singapore during world war ii?,japan
which nation invaded singapore during world war ii?,"during world war ii, the imperial japanese army invaded malaya, culminating in the battle of singapore"
"why churchill called the occupation of singapor by janpan during wwii ""britains greatest defeat""?",the british were defeated in six days
when did goh chok tong succeed lee as prime minister?,"in 1990, goh chok tong succeeded lee as prime minister"
what is the primary domestic source of water supply?,the primary domestic source of water supply in singapore is rainfall
what is the national language of singapore?,the national language of singapore is malay
where is the national orchid garden?,singapore botanic gardens
why are relations with malaysia and indonesia important?,"due to obvious geographical reasons, relations with malaysia and indonesia are most important"
what is the most densely populated independent country in the world?,monaco
who did sir thomas stamford raffles work for?,british east india company
when was lee kuan yew prime minister of singapore?,1959
what is the punishment for first-degree murder?,there are laws which allow capital punishment in singapore for first-degree murder and drug trafficking
what established a trading post on the island in 1819?,british east india company 
what used singapore as a strategic trading post along the spice route?,british
what became one of the most important commercial and military centres of the british empire?,singapore
"who boasted a sizeable community of 100,000 by 1869?",british india office
how do reservoirs and water relate?,"by 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs "
is it true that singapore has several long - standing disputes with malaysia?,yes
has singapore changi airport a network of 81 airlines connecting singapore to 185 cities in 58 countries ?,yes
has singapore a network of reservoirs and water catchment areas ?,yes
"has urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being bukit timah nature reserve ?",yes
"does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",no
"is singapore -lrb- ; (: ; , -rrb- , officially the republic of singapore -lrb- ; (: ; , -rrb- , an island nation located at the southern tip of the malay peninsula?",yes
is singapore the 17th wealthiest country in the world in terms of gdp per capita?,no
where was theodore roosevelt born?,28 east 20th street in the modern-day gramercy section of new york city
where was theodore roosevelt born?,"a four-story brownstone at 28 east 20th street, in the modern-day gramercy section of new york city"
what did roosevelt do to improve his physical condition?,roosevelt took up exercise
what did roosevelt do to improve his physical condition?,he started boxing
what was the nickname of theodore roosevelts sister anna?,bamie as a child and bye as an adult
what was the nickname of theodore roosevelts sister anna?,bamie
what was roosevelts justification for supporting desegregation of schools in new york?,noting that his children had been educated with other races and there was nothing wrong with it
what was roosevelts justification for supporting desegregation of schools in new york?,that his children had been educated with other races and there was nothing wrong with it
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house?,mixing of the races on social occassions
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house?,they outraged
did theodore roosevelt study judo?,no
did theodore roosevelt study judo?,no clue
did roosevelt receive a medal of honor?,yes
did roosevelt receive a medal of honor?,nein
did roosevelt study biology?,yes
did roosevelt study biology?,he was strong in biology
where was theodore roosevelt from?,gramercy section of new york city
where was theodore roosevelt from?,new york city
who helped to fund roosevelts african safari?,financed by andrew carnegie and his own proposed writings
who helped to fund roosevelts african safari?,andrew carnegie
did roosevelt support racial integration in schools?,yes
did roosevelt support racial integration in schools?,he supported a bill allowing school desegregation in new york state
was roosevelts family rich?,yes
how often do turtles breed?,every few years or more
what has been discovered about turtles organs?,they do not gradually break down or become less efficient over time
what has been discovered about turtles organs?,they do not break down
are turtles a part of the flying spaghetti monster?,*shrug*
what do turles use to breathe in the water?,papillae
why are side-necked turtles called side-necked turtles?,because of the way they withdraw their heads into their shells
why are side-necked turtles called side-necked turtles?,the way they withdraw their heads into their shells
what do turtle eggs preared to eat consist mainly of?,yolk
where do sea turtles lay their eggs?,holes dug into the mud or sand
where do sea turtles lay their eggs?,holes dug into mud or sand
what type of creatures breathe air and dont lay eggs underwater?,amniotes
what type of creatures breathe air and dont lay eggs underwater?,amnoites
what are deposited in holes dug into mud or sand?,eggs
what sort of turtles are ectothermic?,all of them
are the largest turtles aquatic?,yes
is aquatic respiration in australian freshwater turtles being studied?,yes
"these projections , called papillae , have what?",a rich blood supply
the eggs of the largest species are what?,spherical
has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes
can turtles take many years to reach breeding age ?,yes
are immature sea turtles not cared for by the adults ?,yes
"are the pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes
"does the order testudines not include both extant -lrb- living -rrb- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes
was grants father-in-law a democrat?,yes
was grants father-in-law a democrat?,yup
did ulysses win the battle of champion hill?,yes
did ulysses win the battle of champion hill?,you betcha
where was grant born?,"point pleasant, ohio"
where was grant born?,"a log cabin in point pleasant, clermont county, ohio"
"why did grant say ""damn, i had nothing to do with this batte""?",it went well
"why did grant say ""damn, i had nothing to do with this batte""?",because the generals under him acted on their own
did horace greenley lose in the presidential elections of 1872?,yes
did horace greenley lose in the presidential elections of 1872?,si
why did grant think that war was unjust?,he thought it was designed to gain land open to slavery
why did grant think that war was unjust?,he accepted the theory that it was designed to gain land open to slavery
who achieved international fame as the leading union general in the american civil war?,grant
grant was elected president as a republican in what year?,1868
who took a hard line that reduced violence by groups like the ku klux klan?,grant
when did he vote for democrat james buchanan?,1856
"who did president lincoln promote of major general in the regular army, effective july 4?",grant
was grant elected president as a republican?,yes
what was from pennsylvania?,his father
was it a two-sentence description that completely caught the essence of ulysses s grant ?,yes
was grant s favorite brand of bourbon whiskey old crow ?,yes
had he smoked only sporadically ?,yes
"did grant & perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous galena area ?",they did
is the famous dragon gate at the entrance to the district at the corner of grant and bush street ?,yes
what happened in 1865?,he accepted the surrender of robert e lee
what happened in recent years?,his reputation as president has improved
is uruguays landscape mountainous?,no
is uruguays landscape mountainous?,not really?
what religion do most uruguayans profess?,none
what religion do most uruguayans profess?,roman catholic
is uruguay located in south america?,yes its located in the southeastern part
is uruguay located in south america?,yes
can citizens propose changes to the constitution?,yes people are allowed to challenge laws
can citizens propose changes to the constitution?,yes
did uruguay host the first ever world cup?,"yes, in 1930"
did uruguay host the first ever world cup?,yes
who founded montevideo?,"by the spanish, in the early 18th century"
who founded montevideo?,montevideo was founded by the spanish in the early 18th century as a military stronghold
how many square kilometres of continental land is uruguay?,176215 km�� 
how many square kilometres of continental land is uruguay?,"176,214 square kilometres"
how much of the population is of white european descent?,88%
how much of the population is of white european descent?,approximately 88% of its population are of prevalently white european descent
why was the capital of uruguay founded?,for a military stronghold
why was the capital of uruguay founded?,"uruguays capital, montevideo, was founded by the spanish in the early 18th century as a military stronghold"
how many times has uruguay won the world cup?,twice 
how many times has uruguay won the world cup?,on two or more occasions
how much is the average income of an african woman compared to a european man?,african women earns 065 * 0718  = 4667% of a european man earns in average
what does a citizen use to propose changes to the constitution?,referendum
what does a citizen use to propose changes to the constitution?,plebiscite
what religions are found in uruguay?,"roman catholic, protestant, jewish, and nonprofessing"
what religions are found in uruguay?,"roman catholic, protestant, jewish"
what has uruguay done to be competitive in agriculture?,"labeling as ""natural"" or ""ecological"""
what has uruguay done to be competitive in agriculture?,"use low inputs of labour, technology, and capital, which results in lower yields but also opens the door for uruguay to market its products as ""natural"" or ""ecological"""
what are the names of uruguays political parties?,partido colorado and partido blanco
what are the names of uruguays political parties?,partido blanco and partido colorado
what was founded by the spanish in the early 18th century as a military stronghold?,montevideo
what has many possible meanings?,(what?)
how do india and latin america relate?,uruguay exports architectural services to india and latin america
what did uruguay win in 1828?,its independence
is uruguay very common?,no?
is the climate in uruguay temperate?,yes
is the main sport in uruguay football ?,yes
"is uruguay s oldest church in san carlos , maldonado ?",yes
is uruguay a member of the cairns group of exporters of agricultural products ?,yes
is it widely considered the most secular nation in latin america ?,yes
"is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",yes
"is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",yes
what field did woodrow wilson leave law practice to study?,history and political science
what field did woodrow wilson leave law practice to study?,government
what caused wilson to ask congress to declare war on the central powers?,german began unrestricted submarine warfare
what caused wilson to ask congress to declare war on the central powers?,world war i
what was more damaging than moving students into colleges?,his confrontation with andrew fleming west
was wilson a member of the phi kappa psi fraternity?,yes
was wilson a member of the phi kappa psi fraternity?,totally\t
was wilson an automobile enthusiast?,yes
was wilson an automobile enthusiast?,ouai
did wilsons father own slaves?,yes
did wilsons father own slaves?,yeah
where is wilson buried?,he was buried in washington national cathedral
where is wilson buried?,washington national cathedral
where did wilson attend law school?,wilson attended law school at university of virginia
where did wilson attend law school?,university of virginia
where was woodrow wilson born?,"woodrow wilson was born in staunton, virginia"
where was woodrow wilson born?,"staunton, virginia"
did wilson support desegregation?,no
did wilson support desegregation?,not in the slightest
did wilson have any siblings?,yes
what was scots-irish and scottish?,his ancestry
"what defended slavery, owned slaves and set up a sunday school for them?",his father
who did wilson win in 1917?,irish americans
was wilson awarded the 1919 nobel peace prize?,yes
was wilson a remarkably effective writer and thinker?,yes
what lived in columbia?,wilson
was wilson president of the american political science association in 1910 ?,yes
"did he not cast his ballot for john m palmer , the presidential candidate of the national democratic party , or gold democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",yes
did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe ?,yes
"was wilson , a staunch opponent of antisemitism , sympathetic to the plight of jews , especially in poland and in france ?",yes
what happened in 1917?,"raised billions through liberty loans, imposed an income tax, set up the war industries board, promoted labor union growth, supervised agriculture and food production through the lever act, took over control of the railroads, and suppressed anti-war movements"
what important electrical unit was named in honor of volta?,the volt
what important electrical unit was named in honor of volta?,volt
for how many years did alessandro volta live?,53
did alessandro volta live to be 80 years old?,no
what was alessandro volta`s profession?,physisist
how old was alessandro volta when he died?, 82
"how many years ago was it when volta married the daughter of count ludovico peregrini , teresa , with whom he raised three sons?",215
is the electrolyte sulphuric acid?,yes
is volta buried in the city  of como?,yes
was his 1800  paper written in french?,yes
"before 1796, was lombardy ruled by austria?",yes
did he receive the society`s 1794 copley medal?,yes
did he experiment with individual cells?,yes
when did lombardy come under napoleon`s rule?,from 1796 to 1815
where did he publish his invention of the voltaic pile battery?,the philosophical transactions of the royal society
did he become professor of experimental physics at the university of pavia?,yes
is it true that his passion been always the study of electricity?,yes
his passion been always the study of what?,electricity
is it true that volta married the daughter of count ludovico peregrini?,yes
is it true that he published his invention of the voltaic pile battery?,yes
did avogadro live in england?,no
in what year did avogadro stop teaching at turin university?,1853
in what year did avogadro stop teaching at turin university?,1823
what was amedeo avogadro`s birthplace?,turin
what was amedeo avogadro`s profession?,professor of physics
how many years ago was it when he became a professor of physics at the university of turin?,189
what is amedeo avogadro`s first name?,amedeo
what is amedeo avogadro`s last name?,avogadro
was amedeo avogadro born in north america?,no
was king victor  emmanuel  iii there to pay  homage  to avogadro?,yes
"in fact, was avogadro `s  famous  1811  paper written in french  )",yes
is avogadro `s  number commonly used to compute  the results  of chemical reactions?,yes
"hence, can relative molecular  masses be calculated from the masses  of gas samples?",yes
did he publish his work?,yes
did avogadro submit his poem?,yes
is it true that loschmidt calculated first the value of avogadro number?,yes
loschmidt calculated first the value of what?,avogadros number
"hence , can relative molecular masses be calculated from the masses of gas samples ?",yes
"can the title of this famous 1811 paper be roughly translated into english as ""essay on determining the relative masses of the elementary molecules of bodies"" ?",yes
what is amedeo avogadro?,a person
where is amedeo avogadro from?,italy
when did anders celcius publish his observations on the aurora borealis?,1733
when did anders celcius publish his observations on the aurora borealis?,1733 
what did anders celsius determine about the boiling of water?,he determined the dependence of the boiling of water with atmospheric pressure
what did anders celsius determine about the boiling of water?,dependence with atmospheric pressure
which temperature scale did celsius propose?,celcius
which temperature scale did celsius propose?, the celsius temperature scale 
where was celsius born?,uppsala in sweden
where was celsius born?,"uppsala, sweden"
"whad did celsius report in his paper ""observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude
what is temperature would water have to be to be halfway between its standard boiling and freezing point?,50
what is the difference between celsius original temperature scale and the one we use today?,the scale was reversed by carolus linnaeus 
what is the difference between celsius original temperature scale and the one we use today?,scale was reversed 
what was anders celsius`s profession?,professor of astronomy
how old was anders celsius when he died?,42
what is anders celsius`s last name?,celsius
was celsius born in uppsala  in sweden?,yes
is the celsius  crater  on the moon named after him?,yes
"was anders celsius  ( november 27 ,  1701  april 25 ,  1744  ) a swedish  astronomer?",yes
was anders celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes
was he professor at uppsala university?,yes
is it true that he published a collection of 316 observations?,yes
he published a collection of what?,observations
can syllables begin with a vowel?,no
are calligraphers held in great esteem?,yes
have many european languages borrowed numerous words from it?,yes
are the most active in damascus and cairo?,(bad question)
do arabs consider literary arabic?,(bad question)
the sociolinguistic situation of arabic provides a prime example of what?,the linguistic phenomenon of diglossia
"are pronouns in literary arabic marked for person , number and gender ?",yes
"however , are non-human plural nouns grammatically considered to be feminine singular ?",yes
is a bee an insect?,yes
are bees related to ants?,yes
have managed populations of european honey bees experienced substantial declines?,yes
where do bees live?,in colonies
when do bumblebee colonies reach peak population?,mid to late summer
what do people commonly call cleptoparasitic bees?,cuckoo bees
how did vespoid wasps evolve?,from predatory ancestors
what do humans use bees for?,honey
why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties
"does beijing mean ""northern capital""?",yes
are the caves of dragon bone hill near the village of zhoukoudian in fangshan district?,yes
are hutongs disappearing?,yes
when did beijing host the olympic games?,2008
when was the an shi rebellion launched?,in 755 ad
"in 1949, where did communist forces enter without a fight?",beiping
when did yuan shikai die?,1916
where does air pollution in beijing come from?,surrounding cities and provinces
"as of august 1st, 2006, how many trains stop daily at the beijing railway station or the beijing west railway station?",167
what is the name of a university (or similar institution for imparting higher education) in beijing?,tsinghua university
are famous middle  schools  in beijing :?,yes
could blaise pascal move without crutches?,he could move without crutches until a paralytic attack in 1647
could blaise pascal move without crutches?,no
from what did pascal suffer throughout his life?,ill health
from what did pascal suffer throughout his life?,poor health
what did pascal argue was as perfect as possible?,the procedure used in geometry 
what did pascal argue was as perfect as possible?,the procedure used in geometry
what is the best physician?,time
who was the eldest sibling?,gilberte
of whose continual poor health was the cause never precisely determined?,blaise pascal
is the purfling just for decoration?,no
what does violincello mean?,"violincello means ""little violene"""
what are the two materials that bows are made of traditionally? ,"traditionally, bows are made from pernambuco or brazilwood"
what is used to tune a cello?,pegs are used to tune a cello
what is used to tune a cello?,the pegs
which harmonics can produce any notes above middle c? ,artificial harmonics can produce any notes above middle c
which harmonics can produce any notes above middle c? ,artificial harmonics
"who referred to the cello as �basso de viola da braccio""?","monteverdi referred to the cello as ""basso de viola da braccio"""
"who referred to the cello as �basso de viola da braccio""?",monteverdi
where is the violincello held?,the violincello is held on the shoulder
where is the violincello held?,on the shoulder
what position is used to play the cello?,a gamba
what position is used to play the cello?,seated
why is there purling on a cello?,to stop cracks from forming ****misspelled****
when did the first educational works appear for the cello?,the 18th century
when did the first educational works appear for the cello?,18th century
where did charles-augustin de coulomb die?,charles-augustin de coulomb died in paris
where did charles-augustin de coulomb die?,"paris, france"
when was charles-augustin de coulomb permanently stationed in paris?,charles-augustin de coulomb was permanently stationed in paris in 1781
when was charles-augustin de coulomb permanently stationed in paris?,yes
what contribution did charles-augustin de coulomb make to the field of geotechnical engineering?,retaining wall design
where did the construction of fort bourbon take place?,the construction of fort bourbon took place in martinique
where did the construction of fort bourbon take place?,martinique 
what is the definition of the electrostatic force of attraction and repulsion? ,coulombs law is the definition of the electrostatic force of attraction and repulsion
what is the definition of the electrostatic force of attraction and repulsion? ,coulombs law
when did charles-augustin de coulomb retire to a small estate he possessed at blois?,charles-augustin de coulomb retired to a small estate he possessed at blois on the outbreak of the revolution in 1789
when did charles-augustin de coulomb retire to a small estate he possessed at blois?,1789
"if charles-augustin de coulomb was alive today, how old would he have been?",273
for how many years did charles-augustin de coulomb live?,70
did charles-augustin de coulomb live to be 80 years old?,no
how old was charles-augustin de coulomb when he died?,1806
how many years ago did he resign his appointment as intendant de eaux et fontaine ?,220
how many years ago did charles-augustin de coulomb die?,203
"was the si  unit  of charge , the  coulomb , named after him?",yes
"was coulomb born in angoulême,  france ,  to a well  to do  family?",yes
"was his father ,  henri  coulomb , inspector of the royal  fields  in montpellier?",yes
is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?,yes
"was charles augustin  de coulomb  ( born  june  14 ,  1736 ,  angoulême ,  france  -  died august 23 ,  1806 ,  paris ,  france  ) a french  physicist?",yes
does coulomb leave a legacy?,yes
when was charles-augustin de coulomb born?,"june 14, 1736"
did he publish an important investigation of the laws of friction?,yes
"was coulomb born in angoulême, france, to a well to do family?",yes
was his father inspector of the royal fields?,yes
he discovered an inverse relationship of what?,distance and electric force
is it true that coulomb leaves a legacy as a hero?,yes
where is charles-augustin de coulomb from?,france
was old chinese wholly uninflected?,no
are the modern chinese dialects more like a family?,yes
is it true that one-fifth of world population speak some form of chinese?,yes
one-fifth of world population speak some form of what?,chinese
is mandarin spoken chinese distinguished by its high level?,"no, its distinguished by diversity"
what is the population of copenhagen?,"1,161,063"
what is the population of copenhagen?,"1,153,615"
why is copenhagen a regional hub?,its strategic location and excellent infrastructure
why is copenhagen a regional hub?,its strategic location and excellent infrastructure with the largest airport in scandinavia[6] located 14 minutes by train from the city centre
what happened to copenhagen between 1251 and 1255?,a bunch of things
is copenhagen completely surrounded with water? ,no
copenhagen is ranked number one worldwide for which things?,"most livable city in the world, "
copenhagen is ranked number one worldwide for which things?,"most livable city, location ranking survey"
why did german troops occupy copenhagen?,because it was ww2
what are the most common cymbals?," the most common cymbals are the hi-hats, crash, splash, ride, and china"
what are the most common cymbals?,"hi-hats, crash, splash, ride, and china"
what is the second main orchestral use of cymbals?,the suspended cymbal is the second main orchestral use of symbals
what have clash cymbals traditionally been accompanied by?,clash cymbals have traditionally been accompanied by the bass drum playing an identical part
what have clash cymbals traditionally been accompanied by?,the bass drum playing an identical part
what happens when the center of a cymbal is hit?,it causes a sound which is in a higher register than the rest of the symbal
what happens when the center of a cymbal is hit?,it causes a sound which is in a higher register than the rest of the cymbal
what is an effective way to accentuate a note?,playing a bass drum playing an identical part is an effective way to accentuate a note
what is an effective way to accentuate a note?,"the combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly"
from what type of cymbals can a expert player obtain an enormous dynamic range?,an expert player can obtain an enormous dynamic range from crash cymbals
from what type of cymbals can a expert player obtain an enormous dynamic range?,crash cymbals
what two instruments form the modern drum kit?,the cymbals and the drum
what are orchestral crash cymbals technically called?,a pair of clash cymbals
what are orchestral crash cymbals technically called?,clash cymbals
is dhaka the capital of bangladesh?,yes
is dhaka located on the eastern banks of the buriganga river?,yes
is university of dhaka the largest public university in dhaka?,yes
how much area does dhaka cover?,146260 square kilometers
how many people did the 1970 bhola cyclone kill?,"500,000"
when is the end of the independence war of bangladesh?,"december 16, 1971"
did the mughals arrive in dhaka?,yes
is university of dhaka older than the dhaka college?,no
what is given for the number of native speakers?,no figure is given for the number of native speakers
is english an intonation  language?,yes
is english a de  jure  official  language  of israel?,no
is the stressed  syllable called the nuclear  syllable?,yes
does english grammar have minimal inflection?,yes
did old english develop into middle english?,yes
"are books, magazines, and newspapers written in english available?",yes
is the syntax of german different with different rules?,yes
is it true that semantics causes a number of false friends?,true
"here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?",yes
"are many words describing the navy , types of ships , and other objects or activities on the water of dutch origin ?",yes
"are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between british and american english ?",yes
what do we refer musicians who play flute?,"a flute player, a flautist or a flutist "
what do we refer musicians who play flute?,"a flute player, a flautist, or a flutist"
when was a three-holed flute made from a mammoth tusk discovered?,2004
when was a three-holed flute made from a mammoth tusk discovered?,in 2004
when did the tin whistle first appear?,12th century
when did the tin whistle first appear?,in the 12th century
what are the oldest known musical instruments?,a three holed-flute made from a mammoth tusk and two flutes made from swans bones
what are the oldest known musical instruments?,a three-holed flute made from a mammoth tusk and two flutes made from swans bones are among the oldest known musical instruments
when was the pan flute spread to other parts of europe?,7th century bc
when was the pan flute spread to other parts of europe?,after the 7th century bc
